generatecrypto	generatersa	encryptioncrypto	encryptionrsa	decryptioncrypto	decryptionrsa
1.212837229	0.049577459	0.000879553	0.000502521	0.000141701	0.003962038
4.338572995	0.017279137	0.000634161	0.000215207	0.000070991	0.002723622
5.526237756	0.015421931	0.000321133	0.000171048	0.000058133	0.002944419
3.02122416	0.054673664	0.000647297	0.000139744	0.000041644	0.003260241
0.763390193	0.016136586	0.00043768	0.000122136	0.00003801	0.007756663
1.321174763	0.015878895	0.000636396	0.000078537	0.000036613	0.00383487
6.351045406	0.035814857	0.001174414	0.000149807	0.000036333	0.003531346
0.838493395	0.039874714	0.000833157	0.000122976	0.000035215	0.002526582
3.016455795	0.026089473	0.000719684	0.000115988	0.000035215	0.003611279
0.555619648	0.026898314	0.000475131	0.000134434	0.000034657	0.003128601
0.425511586	0.020695053	0.000585251	0.000126609	0.000034656	0.002986342
0.419863391	0.02381443	0.000221076	0.000117386	0.000034098	0.005382682
0.420192348	0.043200076	0.000628012	0.000117385	0.000033539	0.003040562
2.430169761	0.030078621	0.001105938	0.000133875	0.000033538	0.007279853
3.818455176	0.038292248	0.000641707	0.000128285	0.000055897	0.004176406
1.834039001	0.041902968	0.000257409	0.000116267	0.000034936	0.004114639
1.152440746	0.024304096	0.00058525	0.000118504	0.000033259	0.00315152
1.43595564	0.037630976	0.000360541	0.000143658	0.00003298	0.002930723
3.468082007	0.009074452	0.000584691	0.000123255	0.0000327	0.003780929
4.342315076	0.023399948	0.001121031	0.000139745	0.000032421	0.003318653
0.907544539	0.026410046	0.00062913	0.00013695	0.000032701	0.003385731
1.634555588	0.034343624	0.000206263	0.000025992	0.000032421	0.00329294
3.438489139	0.025110422	0.000602299	0.000459759	0.000032141	0.002506179
1.251331266	0.011688235	0.000454729	0.000128565	0.0000327	0.005621365
0.998612439	0.030955378	0.000596989	0.001446636	0.00001649	0.00732094
0.394947215	0.030970472	0.000341536	0.000145335	0.000035774	0.00374236
0.393086655	0.034557993	0.00100113	0.000051985	0.000032141	0.006938876
0.394809145	0.021801548	0.000797661	0.000138906	0.000044439	0.003735372
0.578234512	0.017459687	0.000825611	0.000122136	0.000033539	0.003436598
0.587544013	0.031245488	0.00077167	0.000140863	0.000031862	0.00359423
6.641090287	0.029196832	0.000197319	0.00013164	0.000032421	0.002644247
0.48121377	0.031921852	0.000643104	0.001676376	0.000031862	0.003182263
0.483306585	0.012163088	0.000280048	0.000252658	0.000031862	0.004528563
0.878418699	0.019146961	0.000824493	0.000128845	0.000031861	0.002434631
0.869478958	0.014317391	0.001063456	0.000113473	0.000031862	0.003342411
2.45522708	0.020854082	0.000862504	0.000151483	0.000031862	0.002967057
1.23801277	0.018698382	0.000565407	0.000106486	0.000031582	0.002930443
1.368195457	0.00798277	0.000419514	0.00003857	0.000032141	0.003090591
2.489534372	0.013848686	0.000379826	0.000159588	0.000031862	0.003140619
0.701412919	0.015682416	0.000668538	0.000116547	0.000031582	0.003433524
0.727995688	0.035251405	0.001076592	0.000116827	0.000031862	0.002671077
0.73320928	0.049751581	0.000704033	0.00010984	0.00004388	0.003256888
7.09739766	0.013323527	0.000190053	0.000157631	0.000032979	0.002219703
1.101583784	0.033314267	0.000631366	0.00010956	0.000031862	0.004073554
2.0539922	0.0195198	0.000275857	0.000106206	0.000031862	0.002548102
0.612550186	0.046014811	0.001211586	0.00008748	0.000032141	0.003113508
2.041144922	0.061107226	0.000296817	0.000160706	0.000031582	0.005655741
1.736395001	0.022480149	0.000624658	0.000115429	0.000031862	0.00273508
1.115989773	0.014924161	0.000346287	0.000102293	0.000031583	0.003716646
2.783612279	0.042904098	0.000627733	0.000099498	0.000031303	0.003460635
4.867682539	0.017984285	0.001270558	0.000343771	0.000031582	0.002685332
2.162977311	0.009913481	0.00066742	0.00010956	0.000031861	0.003506191
1.267289817	0.016519204	0.000231417	0.000056457	0.000031862	0.00357243
1.158941663	0.045543873	0.000641986	0.000157073	0.000004193	0.003284556
0.45618524	0.016634635	0.000456405	0.000101454	0.000035216	0.003043077
0.47339031	0.040701443	0.000597547	0.000099778	0.0000436	0.003335982
0.781016455	0.016575663	0.001222486	0.000100057	0.00003298	0.003015129
5.271651382	0.01251776	0.000686425	0.000161824	0.000032142	0.002505899
0.464821174	0.01755052	0.000363894	0.000118504	0.000031582	0.003114069
0.463604559	0.018769373	0.000595032	0.000100616	0.000031582	0.003648451
0.547889537	0.021521223	0.000192009	0.000104529	0.000031583	0.003163538
0.552447445	0.023691175	0.000631366	0.000151204	0.00003242	0.003466783
2.18295128	0.041685526	0.000562053	0.00110566	0.000031583	0.00250031
0.566585682	0.022503627	0.001082462	0.00011487	0.000031303	0.005034717
1.439351714	0.028101515	0.000862224	0.000159867	0.000031303	0.002505341
3.531531909	0.015925849	0.000252099	0.000112355	0.000031583	0.00322726
7.744121825	0.025827312	0.000676643	0.000102014	0.000031862	0.003401103
